"","rusher_player_name","pos_team","yards_gained"
"12294","B.Robinson","ATL",3
"12295","B.Robinson","ATL",4
"12296","B.Robinson","ATL",3
"12297","B.Robinson","ATL",-1
"12298","B.Robinson","ATL",-2
"12299","D.Singletary","NYG",3
"12300","T.Tracy","NYG",4
"12301","B.Robinson","ATL",14
"12302","B.Robinson","ATL",-1
"12303","T.Allgeier","ATL",12
"12304","T.Allgeier","ATL",2
"12305","B.Robinson","ATL",3
"12306","B.Robinson","ATL",0
"12307","B.Robinson","ATL",2
"12308","D.Singletary","NYG",0
"12309","T.Allgeier","ATL",2
"12310","T.Allgeier","ATL",1
